per, mean, median, 10th, 90th
0.02, -102.38, -101.0, -105.0, -94.0
0.02, -107.63, -106.0, -111.0, -98.0
0.02, -113.63, -113.0, -118.0, -104.0
0.03, -113.69, -113.0, -118.0, -104.0
0.03, -112.59, -111.0, -116.0, -103.0
0.03, -111.45, -110.0, -115.0, -103.0
0.03, -111.54, -110.0, -115.0, -103.0
0.04, -112.96, -111.0, -116.0, -105.0
0.04, -114.69, -113.0, -118.0, -107.0
0.04, -115.78, -114.0, -119.0, -109.0
0.05, -116.07, -114.0, -120.0, -109.0
0.05, -115.73, -114.0, -120.0, -108.0
0.06, -115.3, -113.0, -120.0, -107.0
0.06, -114.67, -112.0, -121.0, -106.0
0.07, -114.18, -112.0, -120.0, -105.0
0.07, -114.4, -112.0, -120.0, -106.0
0.08, -115.0, -113.0, -121.0, -106.0
0.09, -115.75, -113.0, -121.0, -108.0
0.1, -116.97, -115.0, -122.0, -109.0
0.1, -118.42, -116.0, -123.0, -111.0
0.11, -119.6, -117.0, -124.0, -113.0
0.12, -119.66, -117.0, -124.0, -113.0
0.13, -119.56, -117.0, -125.0, -112.0
0.15, -119.58, -117.0, -127.0, -111.0
0.16, -118.56, -116.0, -128.0, -108.0
0.17, -117.77, -115.0, -128.0, -107.0
0.19, -118.12, -115.0, -128.0, -107.0
0.21, -119.01, -116.0, -127.0, -110.0
0.23, -119.92, -117.0, -128.0, -112.0
0.25, -120.31, -118.0, -127.0, -113.0
0.27, -120.36, -118.0, -126.0, -113.0
0.29, -121.45, -119.0, -127.0, -115.0
0.32, -123.33, -121.0, -129.0, -117.0
0.35, -124.91, -123.0, -131.0, -118.0
0.38, -126.6, -124.0, -132.0, -120.0
0.41, -128.48, -126.0, -134.0, -122.0
0.45, -130.59, -129.0, -136.0, -125.0
0.49, -132.72, -131.0, -137.0, -127.0
0.54, -133.97, -133.0, -138.0, -129.0
0.59, -134.71, -133.0, -138.0, -130.0
0.64, -135.36, -134.0, -139.0, -131.0
0.7, -136.59, -135.0, -140.0, -132.0
0.76, -138.83, -138.0, -143.0, -134.0
0.83, -141.05, -140.0, -145.0, -136.0
0.91, -142.47, -142.0, -147.0, -136.0
0.99, -143.48, -143.0, -148.0, -137.0
1.08, -144.22, -145.0, -148.0, -137.0
1.17, -144.53, -145.0, -148.0, -137.0
1.28, -144.27, -145.0, -148.0, -137.0
1.4, -143.62, -144.0, -147.0, -138.0
1.52, -142.59, -142.0, -146.0, -137.0
1.66, -141.16, -141.0, -144.0, -136.0
1.81, -139.52, -139.0, -142.0, -135.0
1.97, -137.69, -137.0, -141.0, -133.0
2.15, -135.84, -135.0, -139.0, -131.0
2.35, -134.34, -133.0, -137.0, -129.0
2.56, -133.25, -132.0, -136.0, -128.0
2.79, -132.37, -131.0, -135.0, -127.0
3.04, -131.58, -130.0, -134.0, -126.0
3.32, -130.82, -130.0, -134.0, -125.0
3.62, -129.84, -129.0, -133.0, -124.0
3.95, -128.85, -128.0, -132.0, -122.0
4.31, -128.02, -127.0, -132.0, -120.0
4.7, -127.69, -126.0, -133.0, -119.0
5.12, -128.18, -127.0, -135.0, -119.0
5.58, -129.35, -128.0, -137.0, -119.0
6.09, -130.49, -129.0, -139.0, -119.0
6.64, -131.54, -130.0, -139.0, -121.0
7.24, -133.07, -132.0, -140.0, -123.0
7.9, -135.39, -134.0, -143.0, -126.0
8.61, -139.67, -139.0, -148.0, -129.0
9.39, -144.74, -145.0, -153.0, -134.0
10.24, -148.84, -150.0, -157.0, -139.0
11.17, -150.76, -151.0, -159.0, -141.0
12.18, -150.96, -152.0, -159.0, -141.0
13.28, -150.63, -151.0, -159.0, -140.0
14.48, -150.31, -151.0, -158.0, -139.0
15.79, -150.39, -152.0, -158.0, -138.0
17.22, -151.47, -154.0, -159.0, -137.0
18.78, -153.11, -156.0, -161.0, -138.0
20.48, -154.91, -158.0, -164.0, -139.0
22.33, -156.25, -159.0, -165.0, -140.0
24.35, -156.95, -160.0, -165.0, -141.0
26.56, -157.36, -160.0, -166.0, -142.0
28.96, -157.6, -160.0, -165.0, -144.0
31.58, -157.77, -160.0, -165.0, -145.0
34.44, -157.8, -160.0, -165.0, -146.0
37.56, -157.72, -160.0, -165.0, -147.0
40.96, -157.54, -160.0, -164.0, -148.0
44.67, -157.25, -159.0, -164.0, -148.0
48.71, -156.99, -159.0, -163.0, -148.0
53.12, -156.6, -158.0, -163.0, -148.0
57.93, -156.2, -158.0, -162.0, -148.0
63.17, -155.85, -158.0, -162.0, -148.0
68.89, -155.27, -157.0, -161.0, -147.0
75.12, -154.78, -156.0, -161.0, -147.0
81.92, -154.22, -156.0, -160.0, -146.0
89.33, -153.59, -155.0, -160.0, -145.0
97.42, -153.09, -155.0, -159.0, -145.0
106.24, -152.55, -154.0, -159.0, -144.0
115.85, -151.96, -153.0, -158.0, -143.0
126.34, -151.29, -153.0, -158.0, -142.0
137.77, -150.53, -152.0, -157.0, -141.0
150.24, -149.61, -151.0, -156.0, -140.0
163.84, -149.13, -151.0, -156.0, -140.0
178.67, -147.97, -149.0, -155.0, -138.0
194.84, -147.97, -149.0, -155.0, -138.0
212.47, -146.6, -148.0, -154.0, -137.0
231.7, -146.6, -148.0, -154.0, -137.0
252.68, -144.92, -146.0, -152.0, -135.0
275.54, -144.92, -146.0, -152.0, -135.0
300.48, -142.83, -144.0, -150.0, -133.0
327.68, -142.83, -144.0, -150.0, -133.0
357.34, -50.5, -51.0, -51.0, -51.0
389.68, -50.5, -51.0, -51.0, -51.0
424.95, -140.18, -142.0, -147.0, -130.0
463.41, -140.18, -142.0, -147.0, -130.0
505.35, -50.5, -51.0, -51.0, -51.0
551.09, -50.5, -51.0, -51.0, -51.0
600.97, -136.46, -138.0, -144.0, -126.0
655.36, -136.46, -138.0, -144.0, -126.0
714.68, -50.5, -51.0, -51.0, -51.0
779.36, -50.5, -51.0, -51.0, -51.0
849.9, -50.5, -51.0, -51.0, -51.0
926.82, -50.5, -51.0, -51.0, -51.0
1010.7, -50.5, -51.0, -51.0, -51.0
1102.18, -50.5, -51.0, -51.0, -51.0
1201.94, -129.8, -131.0, -137.0, -119.0
1310.72, -129.8, -131.0, -137.0, -119.0
